Sample_Name,Meat_Type,Campaign,Sampling_time,Lactate_Dose,Packaging,Ph,Sample_CFU_aerobic,Sample_CFU_lactic,Spoilage_level,Etheral,Fermented,Prickly,Rancid,Sulfurous,Run,Amplicon,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Collection_date,DATASTORE_filetype,Experiment,geo_loc_name,Library_Name
C01T1C1,Poultry,n°1,T1,Zero_dose,Air,6.0,9.0,7.0,,,,,,,SRR8590106,gyrB,247,28226689,SAMN10964872,Metagenome or environmental,14506639,7/26/2017,"fastq,run.zq,sra",SRX5390577,France: Sable-sur-Sarthe,C01T1C1
C01T1C2,Poultry,n°1,T1,Zero_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8594552,16S,424,33470339,SAMN10970141,Metagenome or environmental,13156317,7/26/2017,"fastq,run.zq,sra",SRX5394528,France: Sable-sur-Sarthe,C01T1C2_16S
C01T1C2,Poultry,n°1,T1,Zero_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8590370,gyrB,246,34201021,SAMN10964873,Metagenome or environmental,16780488,7/26/2017,"fastq,run.zq,sra",SRX5390889,France: Sable-sur-Sarthe,C01T1C2
C01T1C3,Poultry,n°1,T1,Zero_dose,50%N2_50%CO2,6.0,9.0,8.0,,,,,,,SRR8594553,16S,424,10970805,SAMN10970142,Metagenome or environmental,4158480,7/26/2017,"fastq,run.zq,sra",SRX5394527,France: Sable-sur-Sarthe,C01T1C3_16S
C01T1C3,Poultry,n°1,T1,Zero_dose,50%N2_50%CO2,6.0,9.0,8.0,,,,,,,SRR8590371,gyrB,247,30837051,SAMN10964874,Metagenome or environmental,15775558,7/26/2017,"fastq,run.zq,sra",SRX5390888,France: Sable-sur-Sarthe,C01T1C3
C01T2A1,Poultry,n°1,T2,Normal_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594554,16S,424,34105304,SAMN10970143,Metagenome or environmental,18368193,8/2/2017,"fastq,run.zq,sra",SRX5394526,France: Sable-sur-Sarthe,C01T2A1_16S
C01T2A1,Poultry,n°1,T2,Normal_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590372,gyrB,247,24951271,SAMN10964875,Metagenome or environmental,13068239,8/2/2017,"fastq,run.zq,sra",SRX5390887,France: Sable-sur-Sarthe,C01T2A1
C01T2A2,Poultry,n°1,T2,Normal_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594555,16S,424,48808030,SAMN10970144,Metagenome or environmental,21092736,8/2/2017,"fastq,run.zq,sra",SRX5394525,France: Sable-sur-Sarthe,C01T2A2_16S
C01T2A2,Poultry,n°1,T2,Normal_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590373,gyrB,247,27939166,SAMN10964876,Metagenome or environmental,14332764,8/2/2017,"fastq,run.zq,sra",SRX5390886,France: Sable-sur-Sarthe,C01T2A2
C01T2A3,Poultry,n°1,T2,Normal_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8594548,16S,424,33343112,SAMN10970145,Metagenome or environmental,14816352,8/2/2017,"fastq,run.zq,sra",SRX5394532,France: Sable-sur-Sarthe,C01T2A3_16S
C01T2A3,Poultry,n°1,T2,Normal_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8590366,gyrB,246,20470262,SAMN10964877,Metagenome or environmental,10539881,8/2/2017,"fastq,run.zq,sra",SRX5390893,France: Sable-sur-Sarthe,C01T2A3
C01T2B1,Poultry,n°1,T2,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594549,16S,424,37000443,SAMN10970146,Metagenome or environmental,15704058,8/2/2017,"fastq,run.zq,sra",SRX5394531,France: Sable-sur-Sarthe,C01T2B1_16S
C01T2B1,Poultry,n°1,T2,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590367,gyrB,245,39101368,SAMN10964878,Metagenome or environmental,19094149,8/2/2017,"fastq,run.zq,sra",SRX5390892,France: Sable-sur-Sarthe,C01T2B1
C01T2B2,Poultry,n°1,T2,Half_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594550,16S,424,36761881,SAMN10970147,Metagenome or environmental,14285438,8/2/2017,"fastq,run.zq,sra",SRX5394530,France: Sable-sur-Sarthe,C01T2B2_16S
C01T2B2,Poultry,n°1,T2,Half_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590368,gyrB,244,39612353,SAMN10964879,Metagenome or environmental,19111393,8/2/2017,"fastq,run.zq,sra",SRX5390891,France: Sable-sur-Sarthe,C01T2B2
C01T2B3,Poultry,n°1,T2,Half_dose,50%N2_50%CO2,5.0,9.0,9.0,,,,,,,SRR8594551,16S,424,35851224,SAMN10970148,Metagenome or environmental,19380653,8/2/2017,"fastq,run.zq,sra",SRX5394529,France: Sable-sur-Sarthe,C01T2B3_16S
C01T2B3,Poultry,n°1,T2,Half_dose,50%N2_50%CO2,5.0,9.0,9.0,,,,,,,SRR8590369,gyrB,245,27114538,SAMN10964880,Metagenome or environmental,12918291,8/2/2017,"fastq,run.zq,sra",SRX5390890,France: Sable-sur-Sarthe,C01T2B3
C01T2C1,Poultry,n°1,T2,Zero_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594546,16S,424,32855596,SAMN10970149,Metagenome or environmental,14474934,8/2/2017,"fastq,run.zq,sra",SRX5394534,France: Sable-sur-Sarthe,C01T2C1_16S
C01T2C1,Poultry,n°1,T2,Zero_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590375,gyrB,247,14055690,SAMN10964881,Metagenome or environmental,6963737,8/2/2017,"fastq,run.zq,sra",SRX5390884,France: Sable-sur-Sarthe,C01T2C1
C01T2C2,Poultry,n°1,T2,Zero_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594547,16S,424,35470760,SAMN10970150,Metagenome or environmental,13802730,8/2/2017,"fastq,run.zq,sra",SRX5394533,France: Sable-sur-Sarthe,C01T2C2_16S
C01T2C2,Poultry,n°1,T2,Zero_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590376,gyrB,245,30612357,SAMN10964882,Metagenome or environmental,15215694,8/2/2017,"fastq,run.zq,sra",SRX5390883,France: Sable-sur-Sarthe,C01T2C2
C01T2C3,Poultry,n°1,T2,Zero_dose,50%N2_50%CO2,5.0,10.0,9.0,,,,,,,SRR8594662,16S,424,34601201,SAMN10970151,Metagenome or environmental,18533152,8/2/2017,"fastq,run.zq,sra",SRX5394854,France: Sable-sur-Sarthe,C01T2C3_16S
C01T2C3,Poultry,n°1,T2,Zero_dose,50%N2_50%CO2,5.0,10.0,9.0,,,,,,,SRR8590524,gyrB,245,25015983,SAMN10964883,Metagenome or environmental,12036346,8/2/2017,"fastq,run.zq,sra",SRX5390735,France: Sable-sur-Sarthe,C01T2C3
C01T3A1,Poultry,n°1,T3,Normal_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594661,16S,424,35851616,SAMN10970152,Metagenome or environmental,16003569,8/9/2017,"fastq,run.zq,sra",SRX5394855,France: Sable-sur-Sarthe,C01T3A1_16S
C01T3A1,Poultry,n°1,T3,Normal_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590523,gyrB,247,22901567,SAMN10964884,Metagenome or environmental,12090880,8/9/2017,"fastq,run.zq,sra",SRX5390736,France: Sable-sur-Sarthe,C01T3A1
C01T3A2,Poultry,n°1,T3,Normal_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594664,16S,424,29605753,SAMN10970153,Metagenome or environmental,13070447,8/9/2017,"fastq,run.zq,sra",SRX5394852,France: Sable-sur-Sarthe,C01T3A2_16S
C01T3A2,Poultry,n°1,T3,Normal_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590526,gyrB,247,30597873,SAMN10964885,Metagenome or environmental,16269316,8/9/2017,"fastq,run.zq,sra",SRX5390733,France: Sable-sur-Sarthe,C01T3A2
C01T3A3,Poultry,n°1,T3,Normal_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8594663,16S,424,10114162,SAMN10970154,Metagenome or environmental,5038861,8/9/2017,"fastq,run.zq,sra",SRX5394853,France: Sable-sur-Sarthe,C01T3A3_16S
C01T3A3,Poultry,n°1,T3,Normal_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8590525,gyrB,246,32284881,SAMN10964886,Metagenome or environmental,16324754,8/9/2017,"fastq,run.zq,sra",SRX5390734,France: Sable-sur-Sarthe,C01T3A3
C01T3B1,Poultry,n°1,T3,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594666,16S,424,34037851,SAMN10970155,Metagenome or environmental,13528740,8/9/2017,"fastq,run.zq,sra",SRX5394850,France: Sable-sur-Sarthe,C01T3B1_16S
C01T3B1,Poultry,n°1,T3,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590528,gyrB,246,33106770,SAMN10964887,Metagenome or environmental,15863054,8/9/2017,"fastq,run.zq,sra",SRX5390731,France: Sable-sur-Sarthe,C01T3B1
C01T3B2,Poultry,n°1,T3,Half_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594665,16S,424,35756327,SAMN10970156,Metagenome or environmental,13692213,8/9/2017,"fastq,run.zq,sra",SRX5394851,France: Sable-sur-Sarthe,C01T3B2_16S
C01T3B2,Poultry,n°1,T3,Half_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590527,gyrB,244,32329337,SAMN10964888,Metagenome or environmental,14401288,8/9/2017,"fastq,run.zq,sra",SRX5390732,France: Sable-sur-Sarthe,C01T3B2
C01T3B3,Poultry,n°1,T3,Half_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8594668,16S,424,41323576,SAMN10970157,Metagenome or environmental,21091489,8/9/2017,"fastq,run.zq,sra",SRX5394848,France: Sable-sur-Sarthe,C01T3B3_16S
C01T3B3,Poultry,n°1,T3,Half_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8590530,gyrB,246,32781895,SAMN10964889,Metagenome or environmental,16008947,8/9/2017,"fastq,run.zq,sra",SRX5390729,France: Sable-sur-Sarthe,C01T3B3
C01T3C1,Poultry,n°1,T3,Zero_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594667,16S,424,29452075,SAMN10970158,Metagenome or environmental,12260197,8/9/2017,"fastq,run.zq,sra",SRX5394849,France: Sable-sur-Sarthe,C01T3C1_16S
C01T3C1,Poultry,n°1,T3,Zero_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590529,gyrB,247,28437575,SAMN10964890,Metagenome or environmental,15345880,8/9/2017,"fastq,run.zq,sra",SRX5390730,France: Sable-sur-Sarthe,C01T3C1
C01T3C2,Poultry,n°1,T3,Zero_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8594660,16S,424,35638037,SAMN10970159,Metagenome or environmental,18478803,8/9/2017,"fastq,run.zq,sra",SRX5394856,France: Sable-sur-Sarthe,C01T3C2_16S
C01T3C2,Poultry,n°1,T3,Zero_dose,70%O2_30%CO2,5.0,9.0,8.0,,,,,,,SRR8590532,gyrB,245,25203064,SAMN10964891,Metagenome or environmental,12861166,8/9/2017,"fastq,run.zq,sra",SRX5390727,France: Sable-sur-Sarthe,C01T3C2
C01T3C3,Poultry,n°1,T3,Zero_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8594659,16S,424,29755610,SAMN10970160,Metagenome or environmental,15687462,8/9/2017,"fastq,run.zq,sra",SRX5394857,France: Sable-sur-Sarthe,C01T3C3_16S
C01T3C3,Poultry,n°1,T3,Zero_dose,50%N2_50%CO2,5.0,9.0,8.0,,,,,,,SRR8590531,gyrB,247,34587205,SAMN10964892,Metagenome or environmental,17333221,8/9/2017,"fastq,run.zq,sra",SRX5390728,France: Sable-sur-Sarthe,C01T3C3
C01TB,Poultry,n°1,Gut,None,None,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,
C01TD,Poultry,n°1,Primal_cut,None,None,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,
C01TE,Poultry,n°1,Spices,None,None,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,
C01TG,Poultry,n°1,Fat,None,None,0.0,7.0,3.0,,,,,,,,,,,,,,,,,,
C02T0A,Poultry,n°2,T0,Normal_dose,None,6.0,7.0,3.0,1.0083,0.1583,0.1833,0.275,0.6583,0.2333,SRR8594355,16S,424,19322180,SAMN10970161,Metagenome or environmental,8570594,7/21/2017,"fastq,run.zq,sra",SRX5394725,France: Sable-sur-Sarthe,C02T0A_16S
C02T0A,Poultry,n°2,T0,Normal_dose,None,6.0,7.0,3.0,1.0083,0.1583,0.1833,0.275,0.6583,0.2333,SRR8590126,gyrB,249,21734434,SAMN10964893,Metagenome or environmental,11549721,7/21/2017,"fastq,run.zq,sra",SRX5390557,France: Sable-sur-Sarthe,C02T0A
C02T0B,Poultry,n°2,T0,Half_dose,None,6.0,6.0,4.0,,,,,,,SRR8594356,16S,424,31301641,SAMN10970162,Metagenome or environmental,13573464,7/21/2017,"fastq,run.zq,sra",SRX5394724,France: Sable-sur-Sarthe,C02T0B_16S
C02T0B,Poultry,n°2,T0,Half_dose,None,6.0,6.0,4.0,,,,,,,SRR8590127,gyrB,249,37814768,SAMN10964894,Metagenome or environmental,19434535,7/21/2017,"fastq,run.zq,sra",SRX5390556,France: Sable-sur-Sarthe,C02T0B
C02T0C,Poultry,n°2,T0,Zero_dose,None,6.0,6.0,3.0,,,,,,,SRR8594353,16S,424,33552418,SAMN10970163,Metagenome or environmental,14015223,7/21/2017,"fastq,run.zq,sra",SRX5394727,France: Sable-sur-Sarthe,C02T0C_16S
C02T0C,Poultry,n°2,T0,Zero_dose,None,6.0,6.0,3.0,,,,,,,SRR8590124,gyrB,247,39557636,SAMN10964895,Metagenome or environmental,19602483,7/21/2017,"fastq,run.zq,sra",SRX5390559,France: Sable-sur-Sarthe,C02T0C
C02T1A1,Poultry,n°2,T1,Normal_dose,Air,6.0,8.0,7.0,3.2917,1.1167,1.65,1.9917,1.8667,0.0167,SRR8594354,16S,424,43479697,SAMN10970164,Metagenome or environmental,18651036,7/27/2017,"fastq,run.zq,sra",SRX5394726,France: Sable-sur-Sarthe,C02T1A1_16S
C02T1A1,Poultry,n°2,T1,Normal_dose,Air,6.0,8.0,7.0,3.2917,1.1167,1.65,1.9917,1.8667,0.0167,SRR8590125,gyrB,246,29574477,SAMN10964896,Metagenome or environmental,14431493,7/27/2017,"fastq,run.zq,sra",SRX5390558,France: Sable-sur-Sarthe,C02T1A1
C02T1A2,Poultry,n°2,T1,Normal_dose,70%O2_30%CO2,6.0,8.0,7.0,3.3917,0.7,1.4,0.9667,1.775,0.0583,SRR8594359,16S,424,35929168,SAMN10970165,Metagenome or environmental,14880051,7/27/2017,"fastq,run.zq,sra",SRX5394721,France: Sable-sur-Sarthe,C02T1A2_16S
C02T1A2,Poultry,n°2,T1,Normal_dose,70%O2_30%CO2,6.0,8.0,7.0,3.3917,0.7,1.4,0.9667,1.775,0.0583,SRR8590130,gyrB,245,30949971,SAMN10964897,Metagenome or environmental,15250139,7/27/2017,"fastq,run.zq,sra",SRX5390553,France: Sable-sur-Sarthe,C02T1A2
C02T1A3,Poultry,n°2,T1,Normal_dose,50%N2_50%CO2,6.0,8.0,7.0,1.45,0.775,0.8917,0.475,0.65,0.0333,SRR8594360,16S,424,45011012,SAMN10970166,Metagenome or environmental,18289108,7/27/2017,"fastq,run.zq,sra",SRX5394720,France: Sable-sur-Sarthe,C02T1A3_16S
C02T1A3,Poultry,n°2,T1,Normal_dose,50%N2_50%CO2,6.0,8.0,7.0,1.45,0.775,0.8917,0.475,0.65,0.0333,SRR8590131,gyrB,245,31421057,SAMN10964898,Metagenome or environmental,15239728,7/27/2017,"fastq,run.zq,sra",SRX5390552,France: Sable-sur-Sarthe,C02T1A3
C02T1B1,Poultry,n°2,T1,Half_dose,Air,6.0,8.0,7.0,,,,,,,SRR8594357,16S,424,30709089,SAMN10970167,Metagenome or environmental,12080978,7/27/2017,"fastq,run.zq,sra",SRX5394723,France: Sable-sur-Sarthe,C02T1B1_16S
C02T1B1,Poultry,n°2,T1,Half_dose,Air,6.0,8.0,7.0,,,,,,,SRR8590128,gyrB,245,38499727,SAMN10964899,Metagenome or environmental,18479275,7/27/2017,"fastq,run.zq,sra",SRX5390555,France: Sable-sur-Sarthe,C02T1B1
C02T1B2,Poultry,n°2,T1,Half_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8594358,16S,424,28787269,SAMN10970168,Metagenome or environmental,11026996,7/27/2017,"fastq,run.zq,sra",SRX5394722,France: Sable-sur-Sarthe,C02T1B2_16S
C02T1B2,Poultry,n°2,T1,Half_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8590129,gyrB,245,30293617,SAMN10964900,Metagenome or environmental,14734947,7/27/2017,"fastq,run.zq,sra",SRX5390554,France: Sable-sur-Sarthe,C02T1B2
C02T1B3,Poultry,n°2,T1,Half_dose,50%N2_50%CO2,6.0,8.0,8.0,,,,,,,SRR8594347,16S,424,41148468,SAMN10970169,Metagenome or environmental,17375656,7/27/2017,"fastq,run.zq,sra",SRX5394733,France: Sable-sur-Sarthe,C02T1B3_16S
C02T1B3,Poultry,n°2,T1,Half_dose,50%N2_50%CO2,6.0,8.0,8.0,,,,,,,SRR8590132,gyrB,245,35361685,SAMN10964901,Metagenome or environmental,17187433,7/27/2017,"fastq,run.zq,sra",SRX5390551,France: Sable-sur-Sarthe,C02T1B3
C02T1C1,Poultry,n°2,T1,Zero_dose,Air,6.0,9.0,7.0,2.2417,0.9583,1.4083,1.1083,1.0667,0.25,SRR8594519,16S,424,43552282,SAMN10970170,Metagenome or environmental,17634452,7/27/2017,"fastq,run.zq,sra",SRX5394561,France: Sable-sur-Sarthe,C02T1C1_16S
C02T1C1,Poultry,n°2,T1,Zero_dose,Air,6.0,9.0,7.0,2.2417,0.9583,1.4083,1.1083,1.0667,0.25,SRR8590133,gyrB,246,35591672,SAMN10964902,Metagenome or environmental,17897510,7/27/2017,"fastq,run.zq,sra",SRX5390550,France: Sable-sur-Sarthe,C02T1C1
C02T1C2,Poultry,n°2,T1,Zero_dose,70%O2_30%CO2,6.0,9.0,7.0,2.95,0.975,1.625,1.5833,1.35,0.025,SRR8594388,16S,424,35199556,SAMN10970171,Metagenome or environmental,13310080,7/27/2017,"fastq,run.zq,sra",SRX5394692,France: Sable-sur-Sarthe,C02T1C2_16S
C02T1C2,Poultry,n°2,T1,Zero_dose,70%O2_30%CO2,6.0,9.0,7.0,2.95,0.975,1.625,1.5833,1.35,0.025,SRR8590152,gyrB,245,29733759,SAMN10964903,Metagenome or environmental,14125344,7/27/2017,"fastq,run.zq,sra",SRX5390531,France: Sable-sur-Sarthe,C02T1C2
C02T1C3,Poultry,n°2,T1,Zero_dose,50%N2_50%CO2,6.0,8.0,8.0,1.2167,0.7083,1.1583,1.0417,0.5667,0.0833,SRR8594387,16S,424,30894008,SAMN10970172,Metagenome or environmental,12562765,7/27/2017,"fastq,run.zq,sra",SRX5394693,France: Sable-sur-Sarthe,C02T1C3_16S
C02T1C3,Poultry,n°2,T1,Zero_dose,50%N2_50%CO2,6.0,8.0,8.0,1.2167,0.7083,1.1583,1.0417,0.5667,0.0833,SRR8590151,gyrB,245,36093795,SAMN10964904,Metagenome or environmental,17777973,7/27/2017,"fastq,run.zq,sra",SRX5390532,France: Sable-sur-Sarthe,C02T1C3
C02T2A1,Poultry,n°2,T2,Normal_dose,Air,6.0,8.0,8.0,3.8667,1.8917,2.75,2.3667,1.1417,0.3167,SRR8594386,16S,424,46429182,SAMN10970173,Metagenome or environmental,24632586,8/3/2017,"fastq,run.zq,sra",SRX5394694,France: Sable-sur-Sarthe,C02T2A1_16S
C02T2A1,Poultry,n°2,T2,Normal_dose,Air,6.0,8.0,8.0,3.8667,1.8917,2.75,2.3667,1.1417,0.3167,SRR8590150,gyrB,245,23628175,SAMN10964905,Metagenome or environmental,11790911,8/3/2017,"fastq,run.zq,sra",SRX5390533,France: Sable-sur-Sarthe,C02T2A1
C02T2A2,Poultry,n°2,T2,Normal_dose,70%O2_30%CO2,6.0,9.0,8.0,3.7417,1.75,2.25,2.0083,1.4,0.0167,SRR8594629,16S,424,47938147,SAMN10970174,Metagenome or environmental,24700839,8/3/2017,"fastq,run.zq,sra",SRX5394451,France: Sable-sur-Sarthe,C02T2A2_16S
C02T2A2,Poultry,n°2,T2,Normal_dose,70%O2_30%CO2,6.0,9.0,8.0,3.7417,1.75,2.25,2.0083,1.4,0.0167,SRR8590149,gyrB,245,28484263,SAMN10964906,Metagenome or environmental,14403597,8/3/2017,"fastq,run.zq,sra",SRX5390534,France: Sable-sur-Sarthe,C02T2A2
C02T2A3,Poultry,n°2,T2,Normal_dose,50%N2_50%CO2,5.0,8.0,8.0,3.9083,1.5583,2.275,1.5,1.8833,0.0333,SRR8594384,16S,424,47443062,SAMN10970175,Metagenome or environmental,26324996,8/3/2017,"fastq,run.zq,sra",SRX5394696,France: Sable-sur-Sarthe,C02T2A3_16S
C02T2A3,Poultry,n°2,T2,Normal_dose,50%N2_50%CO2,5.0,8.0,8.0,3.9083,1.5583,2.275,1.5,1.8833,0.0333,SRR8590148,gyrB,245,27146593,SAMN10964907,Metagenome or environmental,13002240,8/3/2017,"fastq,run.zq,sra",SRX5390535,France: Sable-sur-Sarthe,C02T2A3
C02T2B1,Poultry,n°2,T2,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8594383,16S,424,37234066,SAMN10970176,Metagenome or environmental,18181175,8/3/2017,"fastq,run.zq,sra",SRX5394697,France: Sable-sur-Sarthe,C02T2B1_16S
C02T2B1,Poultry,n°2,T2,Half_dose,Air,5.0,9.0,8.0,,,,,,,SRR8590147,gyrB,246,33344781,SAMN10964908,Metagenome or environmental,16550092,8/3/2017,"fastq,run.zq,sra",SRX5390536,France: Sable-sur-Sarthe,C02T2B1
